HotelID,Hotel Name,DateTY,DateLY,PropSupTY,PropDemTY,PropRevTY,PropOccTY,PropADRTY,PropRevPARTY,PropSupLY,PropDemLY,PropRevLY,PropOccLY,PropADRLY,PropRevPARLY,CompSupTY,CompDemTY,CompRevTY,CompOccTY,CompADRTY,CompRevPARTY,CompSupLY,CompDemLY,CompRevLY,CompOccLY,CompADRLY,CompRevPARLY
4763,AC Hotels by Marriott Washington DC Convention Center,2022-05-22,2021-05-23,234,183,42536,78.205%,232.4371585,181.7777778,234,143,14982,61.111%,104.7692308,64.02564103,1311,989,231999,75.439%,234.5793731,176.9633867,1311,677,71519,51.640%,105.6410635,54.55301297
4763,AC Hotels by Marriott Washington DC Convention Center,2022-05-23,2021-05-24,234,228,70690,97.436%,310.0438596,302.0940171,234,112,11946,47.863%,106.6607143,51.05128205,1311,1150,319247,87.719%,277.606087,243.5141114,1311,528,55124,40.275%,104.4015152,42.04729214
4763,AC Hotels by Marriott Washington DC Convention Center,2022-05-24,2021-05-25,234,220,66156,94.017%,300.7090909,282.7179487,234,99,10733,42.308%,108.4141414,45.86752137,1311,1093,293115,83.371%,268.1747484,223.5812357,1311,496,54884,37.834%,110.6532258,41.86422578
4763,AC Hotels by Marriott Washington DC Convention Center,2022-05-25,2021-05-26,234,195,47063,83.333%,241.3487179,201.1239316,234,112,11868,47.863%,105.9642857,50.71794872,1311,815,195386,62.166%,239.7374233,149.0358505,1311,480,53515,36.613%,111.4895833,40.81998474
4763,AC Hotels by Marriott Washington DC Convention Center,2022-05-26,2021-05-27,234,140,28358,59.829%,202.5571429,121.1880342,234,112,11100,47.863%,99.10714286,47.43589744,1311,761,148670,58.047%,195.3613666,113.4019832,1311,571,62268,43.555%,109.0507881,47.49656751
4763,AC Hotels by Marriott Washington DC Convention Center,2022-05-27,2021-05-28,234,206,45898,88.034%,222.8058252,196.1452991,234,172,19729,73.504%,114.7034884,84.31196581,1311,1022,206405,77.956%,201.9618395,157.4408848,1311,885,108784,67.506%,122.919774,82.97787948
4763,AC Hotels by Marriott Washington DC Convention Center,2022-05-28,2021-05-29,234,225,57149,96.154%,253.9955556,244.2264957,234,215,26503,91.880%,123.2697674,113.2606838,1311,1190,255969,90.770%,215.1,195.2471396,1311,1139,154415,86.880%,135.570676,117.7841342
4763,AC Hotels by Marriott Washington DC Convention Center,2022-05-29,2021-05-30,234,187,29599,79.915%,158.2834225,126.491453,234,167,19061,71.368%,114.1377246,81.45726496,1311,1024,174710,78.108%,170.6152344,133.2646834,1311,942,105939,71.854%,112.4617834,80.80778032
4763,AC Hotels by Marriott Washington DC Convention Center,2022-05-30,2021-05-31,234,105,14358,44.872%,136.7428571,61.35897436,234,101,10106,43.162%,100.0594059,43.18803419,1311,627,98965,47.826%,157.8389155,75.48817696,1311,502,54285,38.291%,108.1374502,41.40732265
4763,AC Hotels by Marriott Washington DC Convention Center,2022-05-31,2021-06-01,234,122,20904,52.137%,171.3442623,89.33333333,234,86,8876,36.752%,103.2093023,37.93162393,1311,777,143566,59.268%,184.7696268,109.5087719,1311,413,46747,31.503%,113.188862,35.65751335
